Stock Quotes for BK,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2013-06-03,30.16,30.45,29.61,30.21,5188200,29.51
2013-06-04,30.21,30.49,29.79,29.9,4186700,29.21
2013-06-05,29.81,29.88,28.97,29.01,6283400,28.34
2013-06-06,29.01,29.53,28.68,29.51,6893400,28.83
2013-06-07,29.76,29.92,29.45,29.85,7610700,29.16
2013-06-10,30.02,30.46,29.81,30.16,7818400,29.46
2013-06-11,29.87,30.03,29.46,29.49,3858800,28.81
2013-06-12,29.74,29.79,29.04,29.06,3672100,28.39
2013-06-13,28.99,29.51,28.89,29.48,4946500,28.8
2013-06-14,29.48,29.59,29.06,29.13,2798600,28.45
2013-06-17,29.37,29.61,29.14,29.37,5411800,28.69
2013-06-18,29.47,29.88,29.31,29.77,5058500,29.08
2013-06-19,29.76,30.21,29.46,29.65,8815200,28.96
2013-06-20,29.38,29.38,28.86,28.97,7825000,28.3
2013-06-21,29.26,29.29,28.1,28.45,10809300,27.79
2013-06-24,28.14,28.23,27.54,27.86,10502400,27.21
2013-06-25,28.2,28.38,27.98,28.27,5108300,27.61
2013-06-26,28.52,28.64,28.29,28.33,6629700,27.67
2013-06-27,28.58,28.8,28.39,28.72,5526900,28.05
2013-06-28,28.58,28.61,27.91,28.05,10586300,27.4
2013-07-01,28.22,28.99,28.21,28.47,7807800,27.81
2013-07-02,28.48,29.09,28.19,28.42,5977700,27.76
2013-07-03,28.18,28.64,28.01,28.53,2845400,27.87
2013-07-05,28.79,29.32,28.79,29.26,5315400,28.58
2013-07-08,29.45,29.52,28.95,29.12,7956900,28.44
2013-07-09,29.46,29.46,28.91,29.34,6710000,28.66
2013-07-10,29.34,29.55,29.07,29.33,5102600,28.65
2013-07-11,29.82,29.88,29.43,29.77,5688300,29.08
2013-07-12,29.77,30.09,29.64,30.06,5864400,29.36
2013-07-15,30.39,30.72,30.18,30.69,6847800,29.98
2013-07-16,30.68,30.74,30.21,30.35,8113700,29.65
2013-07-17,31.05,31.78,30.77,30.92,10179700,30.2
2013-07-18,31.01,31.82,30.92,31.47,7810000,30.74
2013-07-19,31.48,31.8,31.17,31.77,5227200,31.03
2013-07-22,31.68,32.19,31.61,32.07,4549200,31.33
2013-07-23,32.1,32.36,32.03,32.21,4242600,31.46
2013-07-24,32.28,32.3,31.77,31.92,5295400,31.18
2013-07-25,31.68,31.95,31.49,31.85,4268600,31.26
2013-07-26,31.55,31.77,31.35,31.76,4078700,31.17
2013-07-29,31.67,31.87,31.51,31.53,4282300,30.94
2013-07-30,31.7,31.95,31.46,31.55,4292600,30.96
2013-07-31,31.63,31.98,31.41,31.45,5202400,30.87
2013-08-01,31.83,32.25,31.82,32,4996500,31.41
2013-08-02,31.93,31.95,31.7,31.8,3128100,31.21
2013-08-05,31.74,31.83,31.53,31.68,3203100,31.09
2013-08-06,31.66,31.77,31.44,31.52,3137700,30.93
2013-08-07,31.32,31.48,31,31.17,4224900,30.59
2013-08-08,31.37,31.57,30.96,31.06,3234400,30.48
2013-08-09,31.01,31.19,30.88,30.97,3182200,30.39
2013-08-12,30.75,31.02,30.62,30.75,3688700,30.18
2013-08-13,30.82,30.88,30.56,30.75,3659400,30.18
2013-08-14,30.7,30.99,30.66,30.69,3319800,30.12
2013-08-15,30.4,30.48,30.11,30.42,3943600,29.85
2013-08-16,30.32,30.73,30.31,30.57,4748600,30
2013-08-19,30.52,30.52,30.1,30.13,4106900,29.57
2013-08-20,30.33,30.66,30,30.56,5027900,29.99
2013-08-21,30.44,30.61,30.07,30.28,3889300,29.72
2013-08-22,30.38,31.23,30.31,31.02,4484200,30.44
2013-08-23,31.13,31.16,30.69,30.85,3162400,30.28
2013-08-26,30.83,31,30.65,30.66,2896100,30.09
2013-08-27,30.21,30.3,29.62,29.66,5485700,29.11
2013-08-28,29.63,29.9,29.52,29.75,3764700,29.2
2013-08-29,29.69,30.07,29.59,29.83,3549500,29.28
2013-08-30,29.89,29.9,29.61,29.74,3714600,29.19
2013-09-03,30.13,30.54,29.93,30.12,4030000,29.56
2013-09-04,30.07,30.55,30.01,30.39,4642900,29.83
2013-09-05,30.39,30.8,30.34,30.66,3879600,30.09
2013-09-06,30.76,30.8,29.98,30.46,4125200,29.89
2013-09-09,30.55,30.79,30.4,30.79,2640400,30.22
2013-09-10,31.08,31.37,31.05,31.28,3826400,30.7
2013-09-11,31.27,31.32,31.05,31.23,3315300,30.65
2013-09-12,31.2,31.3,31,31.04,3083500,30.46
2013-09-13,31.09,31.2,30.86,31.11,2481800,30.53
2013-09-16,31.49,31.59,31.2,31.4,3653500,30.82
2013-09-17,31.42,31.49,31.25,31.45,2845800,30.87
2013-09-18,31.45,31.91,31.3,31.38,7073300,30.8
2013-09-19,31.53,31.57,30.69,31.08,5793600,30.5
2013-09-20,31.21,31.38,30.73,30.85,6665800,30.28
2013-09-23,30.71,30.75,30.2,30.3,4990100,29.74
2013-09-24,30.37,30.52,30.09,30.19,3509900,29.63
2013-09-25,30.23,30.72,30.06,30.52,4710900,29.95
2013-09-26,30.53,30.81,30.48,30.59,3465000,30.02
2013-09-27,30.25,30.37,30.11,30.24,3076800,29.68
2013-09-30,29.97,30.34,29.82,30.19,5629700,29.63
2013-10-01,30.29,30.76,30.22,30.75,4954600,30.18
2013-10-02,30.47,30.61,30.25,30.46,3682100,29.89
2013-10-03,30.4,30.41,29.72,29.92,6022000,29.36
2013-10-04,29.96,30.56,29.85,30.5,4028400,29.93
2013-10-07,30.17,30.48,30.05,30.23,3684500,29.67
2013-10-08,30.24,30.3,29.55,29.57,4895900,29.02
2013-10-09,29.65,29.94,29.58,29.78,4031400,29.23
2013-10-10,30.23,30.81,30.19,30.81,5003200,30.24
2013-10-11,30.69,30.95,30.42,30.77,6441300,30.2
2013-10-14,30.61,31.19,30.48,31.18,4033900,30.6
2013-10-15,31.11,31.2,30.73,30.85,5497900,30.28
2013-10-16,31.17,31.39,30.52,30.76,6999500,30.19
2013-10-17,30.45,31.44,30.45,31.33,7459500,30.75
2013-10-18,31.38,31.55,31.22,31.48,3775800,30.89
2013-10-21,31.45,31.67,31.34,31.62,4621900,31.03
2013-10-22,31.66,31.69,31.37,31.59,4849100,31
2013-10-23,31.37,31.61,31.34,31.58,7278000,30.99
2013-10-24,31.54,31.7,31.47,31.66,4743000,31.22
2013-10-25,31.8,31.9,31.64,31.83,4929100,31.39
2013-10-28,31.87,32.13,31.74,31.83,6677300,31.39
2013-10-29,31.85,32.15,31.81,32.13,4825100,31.68
2013-10-30,32.2,32.23,31.88,31.99,3656500,31.55
2013-10-31,31.91,32.13,31.76,31.8,6169900,31.36
2013-11-01,31.93,32.49,31.9,32.36,8965100,31.91
2013-11-04,32.4,32.6,32.21,32.51,5839600,32.06
2013-11-05,32.3,32.52,32.11,32.35,3148900,31.9
2013-11-06,32.56,32.56,32.2,32.37,5630300,31.92
2013-11-07,32.43,32.59,31.95,32.01,4937200,31.56
2013-11-08,31.96,33.17,31.96,33.15,6372300,32.69
2013-11-11,33.2,33.33,32.99,33.08,2960500,32.62
2013-11-12,32.93,33.07,32.5,32.56,3295900,32.11
2013-11-13,32.35,33,32.28,33,4853200,32.54
2013-11-14,33.15,33.32,32.9,33.13,3501800,32.67
2013-11-15,33.12,33.48,33.09,33.42,3972900,32.96
2013-11-18,33.47,33.51,33.04,33.13,3507400,32.67
2013-11-19,33.08,33.4,32.93,32.98,5575600,32.52
2013-11-20,33.17,33.59,33.01,33.33,5230400,32.87
2013-11-21,33.41,33.77,33.21,33.72,4572100,33.25
2013-11-22,33.72,33.75,33.39,33.63,4445100,33.16
2013-11-25,33.75,34.26,33.72,33.78,3974900,33.31
2013-11-26,33.82,34.06,33.64,33.65,3762000,33.18
2013-11-27,34.18,34.18,33.62,33.91,3556900,33.44
2013-11-29,34,34.1,33.65,33.7,2453300,33.23
2013-12-02,33.79,34.04,33.58,33.64,3786000,33.17
2013-12-03,33.39,33.64,33.01,33.2,4393600,32.74
2013-12-04,33.12,33.62,33.02,33.37,3526800,32.91
2013-12-05,33.13,33.28,33.03,33.13,3538900,32.67
2013-12-06,33.56,33.67,33.28,33.62,3764600,33.15
2013-12-09,33.79,33.87,33.5,33.65,3454200,33.18
2013-12-10,33.49,33.87,33.49,33.5,2639400,33.03
2013-12-11,33.47,33.59,32.74,32.84,5264700,32.38
2013-12-12,32.86,33.1,32.81,32.84,5509700,32.38
2013-12-13,32.9,33.2,32.78,32.91,3660600,32.45
2013-12-16,33.04,33.24,32.99,33.14,3041100,32.68
2013-12-17,33.13,33.15,32.84,32.86,3270300,32.4
2013-12-18,33.4,33.92,32.85,33.89,7289600,33.42
2013-12-19,33.8,33.97,33.59,33.87,3680100,33.4
2013-12-20,33.96,34.13,33.84,33.88,6917200,33.41
2013-12-23,34.09,34.42,33.99,34.37,3397600,33.89
2013-12-24,34.47,34.49,34.25,34.41,1066700,33.93
2013-12-26,34.43,34.64,34.39,34.56,1854700,34.08
2013-12-27,34.55,34.64,34.4,34.5,1940800,34.02
2013-12-30,34.63,34.65,34.44,34.54,1877500,34.06
2013-12-31,34.64,34.99,34.57,34.94,2777100,34.45
2014-01-02,34.3,35.03,34.3,34.56,3469400,34.08
2014-01-03,34.61,35.34,34.58,34.96,4000300,34.47
2014-01-06,35.28,35.66,34.88,34.95,6204400,34.46
2014-01-07,35.1,35.17,34.33,34.54,6967500,34.06
2014-01-08,34.64,34.84,34.31,34.66,4855000,34.18
2014-01-09,34.71,34.83,34.32,34.7,3673700,34.22
2014-01-10,34.67,34.73,34.05,34.23,4777200,33.75
2014-01-13,34.19,34.28,33.43,33.5,6130600,33.03
2014-01-14,33.65,33.86,33.5,33.82,5369700,33.35
2014-01-15,34.07,34.17,33.79,34.16,6027600,33.69
2014-01-16,34.14,34.18,33.8,33.92,6850700,33.45
2014-01-17,33.45,33.48,32.63,32.7,8525200,32.25
2014-01-21,32.99,33.12,32.75,33.09,7714800,32.63
2014-01-22,33.07,33.44,33.03,33.41,6127200,32.95
2014-01-23,33.08,33.21,32.84,33.12,8123400,32.66
2014-01-24,32.71,33,32.31,32.34,7131300,31.89
2014-01-27,32.34,32.55,31.9,32.04,6479600,31.59
2014-01-28,32.18,32.32,32.01,32.22,5983300,31.77
2014-01-29,31.78,32.29,31.67,31.73,6445400,31.44
2014-01-30,32.05,32.59,32.04,32.41,4798100,32.11
2014-01-31,31.77,32.23,31.66,31.96,5236300,31.66
2014-02-03,31.89,32.02,30.88,30.91,7765000,30.62
2014-02-04,31.17,31.35,30.94,31.19,8462300,30.9
2014-02-05,31.14,31.27,30.84,30.93,4187800,30.64
2014-02-06,31.01,31.49,30.96,31.47,3671700,31.18
2014-02-07,31.64,31.84,31.39,31.79,5264100,31.49
2014-02-10,31.75,31.77,31.34,31.51,4695200,31.22
2014-02-11,31.53,32.04,31.33,31.97,4739400,31.67
2014-02-12,32.04,32.27,31.82,31.98,2545100,31.68
2014-02-13,31.74,32.01,31.68,31.98,3479700,31.68
2014-02-14,31.91,32.02,31.71,31.79,4948800,31.49
2014-02-18,31.85,31.95,31.69,31.76,3527900,31.46
2014-02-19,31.63,31.83,31.1,31.13,4369600,30.84
2014-02-20,31.18,31.28,30.82,31.18,6169800,30.89
2014-02-21,31.22,31.58,31.12,31.35,4638800,31.06
2014-02-24,31.13,31.98,31.13,31.8,4555200,31.5
2014-02-25,31.73,31.75,31.38,31.45,5111000,31.16
2014-02-26,31.5,31.58,31.14,31.4,4516900,31.11
2014-02-27,31.4,31.89,31.32,31.87,4527900,31.57
2014-02-28,31.84,32.11,31.7,32,6393600,31.7
2014-03-03,31.64,31.94,31.4,31.87,5903100,31.57
2014-03-04,32.24,32.49,32.17,32.4,5279300,32.1
2014-03-05,32.41,32.57,32.24,32.44,3789000,32.14
2014-03-06,32.51,32.9,32.47,32.76,3488600,32.46
2014-03-07,33,33.56,32.92,33.51,8248100,33.2
2014-03-10,33.37,33.43,33.19,33.34,3664600,33.03
2014-03-11,33.48,33.53,33.08,33.22,5377600,32.91
2014-03-12,32.58,33.31,32.58,33.3,5984800,32.99
2014-03-13,33.36,33.47,33,33.17,10375300,32.86
2014-03-14,33.14,33.23,32.89,33.13,10727300,32.82
2014-03-17,33.33,33.71,33.28,33.37,4961100,33.06
2014-03-18,33.42,33.56,33.33,33.49,4420700,33.18
2014-03-19,33.49,34.22,33.32,34.19,8468200,33.87
2014-03-20,34.16,35.3,34.1,35.22,10652700,34.89
2014-03-21,35.65,35.85,35.11,35.25,15036900,34.92
2014-03-24,35.46,35.88,35.35,35.58,7284800,35.25
2014-03-25,35.68,35.74,34.88,35.4,17410500,35.07
2014-03-26,35.6,35.61,35.1,35.15,5191800,34.82
2014-03-27,35.2,35.46,34.72,35,7890200,34.67
2014-03-28,35.25,35.42,35.01,35.1,3842900,34.77
2014-03-31,35.31,35.49,35.25,35.29,3915800,34.96
2014-04-01,35.81,35.86,35.18,35.41,5115900,35.08
2014-04-02,33.74,35.43,33.74,35.27,3755200,34.94
2014-04-03,35.26,35.41,35.02,35.39,3513000,35.06
2014-04-04,35.67,35.72,34.6,34.6,5054900,34.28
2014-04-07,34.56,34.57,33.75,33.82,5959000,33.51
2014-04-08,34.47,34.47,33.52,33.88,5721100,33.57
2014-04-09,34.37,34.37,33.74,33.97,5008400,33.65
2014-04-10,34,34.03,33.31,33.33,8247800,33.02
2014-04-11,33.21,33.48,32.66,33.12,6146900,32.81
2014-04-14,33.49,33.52,32.84,33.23,4312100,32.92
2014-04-15,33.89,34.03,32.68,33.25,5813500,32.94
2014-04-16,33.1,33.49,33.01,33.42,6816700,33.11
2014-04-17,33.42,33.85,33.37,33.76,3610200,33.45
2014-04-21,33.68,33.84,33.56,33.71,4472000,33.4
2014-04-22,33.56,34.01,33.3,33.75,5785200,33.44
2014-04-23,33.49,34.64,33.43,34.21,7088300,34.06
2014-04-24,34.28,34.33,33.57,33.62,5899500,33.48
2014-04-25,33.17,33.68,33.14,33.6,5762000,33.46
2014-04-28,33.64,33.75,33.02,33.36,4867600,33.22
2014-04-29,33.58,33.94,33.44,33.82,4086600,33.68
2014-04-30,33.84,33.96,33.58,33.87,5838800,33.73
2014-05-01,33.92,34.19,33.76,33.95,4622100,33.8
