Stock Quotes for CVS,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,75.89,76.33,75.42,76.04,3361300,75.77
2014-07-02,75.99,76.73,75.75,76.25,2759100,75.98
2014-07-03,76.42,76.93,76.31,76.83,2040800,76.56
2014-07-07,76.61,76.99,76.48,76.67,2439600,76.4
2014-07-08,76.58,76.66,76.18,76.53,3318100,76.26
2014-07-09,76.85,76.96,76.25,76.84,3127300,76.57
2014-07-10,76.24,76.93,76.04,76.61,2911700,76.34
2014-07-11,76.55,77.03,76.3,76.9,2269000,76.63
2014-07-14,77.13,77.54,77.1,77.29,2272700,77.01
2014-07-15,77.21,77.65,76.92,77.41,3502300,77.13
2014-07-16,77.69,77.85,76.9,77.03,2796300,76.76
2014-07-17,76.62,77.01,76.09,76.11,2418500,76.11
2014-07-18,76.32,77.52,76.24,77.47,3247700,77.47
2014-07-21,76.99,77.29,76.55,77.04,3152200,77.04
2014-07-22,77.11,78.05,77.02,77.87,2697100,77.87
2014-07-23,77.82,78.19,77.57,78.13,2314500,78.13
2014-07-24,78.34,79.01,78.16,78.89,3798100,78.89
2014-07-25,78.75,79.21,78.61,79.12,3295000,79.12
2014-07-28,79,79.15,78.19,78.38,4278500,78.38
2014-07-29,78.49,78.64,77.81,77.81,3372500,77.81
2014-07-30,78,78.2,77.43,77.74,4014400,77.74
2014-07-31,77.31,77.74,76.36,76.36,4385900,76.36
2014-08-01,76.2,77.09,76.2,76.49,4483000,76.49
2014-08-04,76.52,77.48,76.5,77.37,4396200,77.37
2014-08-05,78.01,78.96,76.17,77.27,6797600,77.27
2014-08-06,74.72,77.43,74.69,77.03,11306300,77.03
2014-08-07,77.5,77.63,75.63,76.11,5665500,76.11
2014-08-08,76.25,77.92,76.18,77.81,4574600,77.81
2014-08-11,78.02,78.69,77.95,78.36,3248700,78.36
2014-08-12,78.21,78.84,78.12,78.67,2425000,78.67
2014-08-13,78.93,79.15,78.44,78.91,3448300,78.91
2014-08-14,79.06,79.34,78.89,79.3,2696200,79.3
2014-08-15,79.3,79.5,78.44,78.91,3308500,78.91
2014-08-18,79.16,79.43,78.9,79.15,2205900,79.15
2014-08-19,79.3,79.54,78.97,79.53,2251800,79.53
2014-08-20,79.44,79.76,79.17,79.61,2584500,79.61
2014-08-21,79.79,79.82,78.93,78.98,2597400,78.98
2014-08-22,78.91,79.6,78.91,79.24,3502200,79.24
2014-08-25,79.44,79.77,79.11,79.21,2500700,79.21
2014-08-26,79.17,79.64,78.9,79.35,2727200,79.35
2014-08-27,79.48,79.75,79.25,79.43,2093100,79.43
2014-08-28,79.31,79.6,78.97,79.43,1811400,79.43
2014-08-29,79.5,79.8,79.28,79.45,2416200,79.45
2014-09-02,79.47,79.79,79.22,79.73,2565800,79.73
2014-09-03,79.89,80.62,79.67,80.36,3512200,80.36
2014-09-04,80.43,81.16,80.02,80.31,4924000,80.31
2014-09-05,80.47,81.65,80.11,81.64,3567400,81.64
2014-09-08,81.72,82.12,81.15,81.4,3357600,81.4
2014-09-09,81.5,81.56,80.57,80.86,3849300,80.86
2014-09-10,80.78,81.19,80.59,80.91,2751100,80.91
2014-09-11,80.76,81.22,80.75,81.09,3926300,81.09
2014-09-12,81.36,81.36,80.33,80.57,2867800,80.57
2014-09-15,81.05,81.28,80.9,81.24,4369500,81.24
