Stock Quotes for EMR,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,66.18,66.95,65.96,66.55,2910300,66.09
2014-07-02,66.59,66.73,66.13,66.64,2230800,66.18
2014-07-03,66.97,67.65,66.93,67.37,1946600,66.91
2014-07-07,67.36,67.95,66.82,67.65,4105500,67.19
2014-07-08,67.38,68.05,67.22,67.83,4211800,67.36
2014-07-09,67.89,68.16,67.49,67.7,2958900,67.24
2014-07-10,67.11,67.59,67,67.2,2569900,66.74
2014-07-11,67.76,67.76,66.74,67.1,2964100,66.64
2014-07-14,67.71,67.77,67.24,67.26,2259500,66.8
2014-07-15,67.17,67.72,67.11,67.5,3003200,67.04
2014-07-16,67.96,68.23,67.75,67.99,3475700,67.52
2014-07-17,67.55,67.61,66.94,66.98,3334100,66.52
2014-07-18,67.12,67.48,67.01,67.39,2535400,66.93
2014-07-21,67.31,67.61,66.99,67.36,1842000,66.9
2014-07-22,67.5,67.86,67.36,67.42,1899000,66.96
2014-07-23,67.44,67.47,66.86,67.02,1341000,66.56
2014-07-24,66.94,67.51,66.91,67.05,2396500,66.59
2014-07-25,67.17,67.77,66.91,67.43,2965300,66.97
2014-07-28,67.24,67.24,66.57,67.08,3044900,66.62
2014-07-29,66.98,67.17,66.1,66.1,2704000,65.65
2014-07-30,66.15,66.23,64.79,65.21,4661800,64.76
2014-07-31,64.82,64.92,63.64,63.65,5419800,63.21
2014-08-01,63.27,63.78,62.71,63.4,4900800,62.96
2014-08-04,63.42,64.14,63.11,63.99,3924500,63.55
2014-08-05,62.1,63.96,60.85,62.84,6971200,62.41
2014-08-06,62.05,62.51,61.54,61.85,5195200,61.43
2014-08-07,62.24,62.39,61.65,61.79,2959300,61.37
2014-08-08,62.04,62.84,61.91,62.8,2232500,62.37
2014-08-11,63.11,63.13,62.51,62.58,2064500,62.15
2014-08-12,62.65,63.1,62.47,62.67,2099500,62.24
2014-08-13,62.49,63.14,62.28,63.05,3137300,63.05
2014-08-14,62.93,63.23,62.75,62.95,2726800,62.95
2014-08-15,63.24,63.41,62.55,62.97,3051100,62.97
2014-08-18,63.16,63.84,63.16,63.82,2047200,63.82
2014-08-19,63.82,64.19,63.8,63.93,2293800,63.93
2014-08-20,63.94,64.58,63.89,64.48,2504500,64.48
2014-08-21,64.5,64.7,64.16,64.56,1774100,64.56
2014-08-22,64.74,64.93,64.43,64.6,2433400,64.6
2014-08-25,64.91,65.16,64.64,64.75,1483900,64.75
2014-08-26,64.93,64.96,64.29,64.34,1855100,64.34
2014-08-27,64.38,64.58,64.08,64.4,1507500,64.4
2014-08-28,64,64.38,63.9,64.26,1192500,64.26
2014-08-29,64.39,64.57,63.99,64.02,2074400,64.02
2014-09-02,64.33,64.67,64.07,64.31,3087500,64.31
2014-09-03,64.75,64.85,64.19,64.29,2176700,64.29
2014-09-04,64.33,65.48,64.19,64.64,3406400,64.64
2014-09-05,64.64,65.3,64.24,65.08,3698100,65.08
2014-09-08,64.92,65.32,64.86,64.98,3218200,64.98
2014-09-09,64.98,65.43,64.79,65.11,3204600,65.11
2014-09-10,65.19,65.35,64.87,65.01,2626300,65.01
2014-09-11,64.76,65.07,64.55,64.66,2734800,64.66
2014-09-12,64.53,64.66,64.15,64.49,3030400,64.49
2014-09-15,64.31,64.54,64.18,64.3,2134100,64.3
