Stock Quotes for JPM,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,57.15,57.99,57.08,57.57,14472200,57.57
2014-07-02,57.27,57.48,56.82,56.97,19189900,56.97
2014-07-03,57.23,57.65,57,57.05,12599800,57.05
2014-07-07,56.89,56.99,56.4,56.67,13916100,56.67
2014-07-08,56.35,56.47,55.63,55.76,18343400,55.76
2014-07-09,55.88,56.12,55.61,56.02,10914300,56.02
2014-07-10,55.06,55.81,54.96,55.56,12436600,55.56
2014-07-11,55.29,55.91,55.19,55.8,10230000,55.8
2014-07-14,56.53,56.84,56.2,56.29,14004400,56.29
2014-07-15,57.95,58.69,57.76,58.27,36178000,58.27
2014-07-16,58.51,58.98,58.31,58.71,20507500,58.71
2014-07-17,58.56,58.86,57.76,57.86,17013500,57.86
2014-07-18,58.33,58.48,57.9,58.23,12803300,58.23
2014-07-21,58.12,58.41,57.9,58.24,9141400,58.24
2014-07-22,58.42,58.8,58.37,58.67,10375200,58.67
2014-07-23,58.76,59.19,58.52,59,11086000,59
2014-07-24,59.07,59.35,58.99,59.17,9844100,59.17
2014-07-25,58.92,59.27,58.84,59.01,10487000,59.01
2014-07-28,58.94,59.26,58.67,59.19,12382800,59.19
2014-07-29,59.13,59.13,58.44,58.64,13482700,58.64
2014-07-30,59.02,59.28,58.61,58.91,11815700,58.91
2014-07-31,58.65,58.68,57.66,57.67,15955900,57.67
2014-08-01,57.39,57.49,55.97,56.48,23915400,56.48
2014-08-04,56.91,56.98,56.34,56.65,13543900,56.65
2014-08-05,56.43,56.6,55.6,56.06,16863300,56.06
2014-08-06,55.89,56.69,55.83,56.23,12190600,56.23
2014-08-07,56.63,56.69,55.68,55.91,11732500,55.91
2014-08-08,55.89,56.36,55.64,56.34,12181000,56.34
2014-08-11,56.54,56.58,56.17,56.32,8721100,56.32
2014-08-12,56.23,56.55,56.13,56.35,11289600,56.35
2014-08-13,56.69,56.84,56.51,56.72,7012600,56.72
2014-08-14,56.77,57,56.7,56.98,8275400,56.98
2014-08-15,57.24,57.5,56.39,56.75,12727400,56.75
2014-08-18,56.86,57.43,56.76,57.23,8866600,57.23
2014-08-19,57.6,57.72,57.34,57.56,9029500,57.56
2014-08-20,57.42,57.85,57.39,57.64,8103400,57.64
2014-08-21,57.66,58.77,57.6,58.5,12722700,58.5
2014-08-22,58.44,59.08,58.33,58.49,10184500,58.49
2014-08-25,58.98,59.83,58.86,59.34,13969300,59.34
2014-08-26,59.57,59.95,59.39,59.74,10231100,59.74
2014-08-27,59.85,59.95,59.53,59.59,11389100,59.59
2014-08-28,59.25,59.37,58.81,59.16,9085400,59.16
2014-08-29,59.34,59.65,59.23,59.45,8897900,59.45
2014-09-02,59.46,59.71,59.15,59.67,8671100,59.67
2014-09-03,60.02,60.37,59.46,59.7,11791800,59.7
2014-09-04,59.63,60.14,59.43,59.71,9786000,59.71
2014-09-05,59.62,59.91,59.22,59.91,9589000,59.91
2014-09-08,59.84,60.22,59.74,59.89,8090000,59.89
2014-09-09,59.63,59.68,58.78,59.06,14846100,59.06
2014-09-10,59.15,59.56,58.92,59.22,9153800,59.22
2014-09-11,59.18,59.84,58.97,59.76,11467000,59.76
2014-09-12,59.8,60.41,59.75,60.03,14359100,60.03
2014-09-15,59.78,59.99,59.45,59.94,10675500,59.94
