Stock Quotes for VZ,,,,,,
Date,Open,High,Low,Close,Volume,Adj Close
2014-07-01,48.88,49.55,48.82,49.37,14298500,48.84
2014-07-02,49.52,49.73,49.32,49.66,11576100,49.13
2014-07-03,49.9,49.94,49.35,49.71,8238600,49.18
2014-07-07,49.61,49.88,49.55,49.75,13930000,49.22
2014-07-08,49.01,49.07,48.76,48.76,12848400,48.76
2014-07-09,48.99,49.11,48.72,48.9,14431900,48.9
2014-07-10,48.59,49.77,48.54,49.64,18423500,49.64
2014-07-11,49.85,50.43,49.67,50.32,17741200,50.32
2014-07-14,50.44,50.6,50.15,50.53,13023900,50.53
2014-07-15,50.57,50.82,50.37,50.71,14235400,50.71
2014-07-16,50.89,51.02,50.67,50.96,12798600,50.96
2014-07-17,50.79,50.98,50.24,50.32,11485100,50.32
2014-07-18,50.62,50.85,50.45,50.75,10129500,50.75
2014-07-21,50.82,51,50.54,50.7,11333900,50.7
2014-07-22,50.98,51.14,50.41,50.98,15037300,50.98
2014-07-23,50.98,51.2,50.78,50.91,11912400,50.91
2014-07-24,50.96,51.45,50.71,51.05,17340800,51.05
2014-07-25,51.07,51.48,51.07,51.28,11063100,51.28
2014-07-28,51.26,51.58,51.18,51.58,9600900,51.58
2014-07-29,53.19,53.66,51.88,51.97,32965500,51.97
2014-07-30,51.94,52.15,51.42,51.76,12769100,51.76
2014-07-31,51.26,51.38,50.35,50.42,21255000,50.42
2014-08-01,50.52,50.52,49.83,49.83,18254100,49.83
2014-08-04,50.04,50.3,49.64,50.21,11693900,50.21
2014-08-05,50.15,50.2,49.5,49.66,11565100,49.66
2014-08-06,49.4,49.45,48.36,49.13,18995100,49.13
2014-08-07,49.16,49.32,48.45,48.65,12143700,48.65
2014-08-08,48.73,49.1,48.2,48.7,15395200,48.7
2014-08-11,48.89,49.04,48.61,48.67,11827600,48.67
2014-08-12,48.8,48.95,48.56,48.84,12325600,48.84
2014-08-13,49,49.02,48.76,48.92,10897800,48.92
2014-08-14,49.02,49.02,48.81,49,11535400,49
2014-08-15,48.9,49.05,48.5,48.8,16378200,48.8
2014-08-18,49.05,49.14,48.64,48.78,12666800,48.78
2014-08-19,49.03,49.04,48.27,48.7,17336000,48.7
2014-08-20,48.82,48.97,48.6,48.82,10685300,48.82
2014-08-21,48.86,49.15,48.73,48.87,10188900,48.87
2014-08-22,48.83,48.98,48.52,48.64,9991400,48.64
2014-08-25,48.68,49.16,48.68,49.15,9913500,49.15
2014-08-26,49.21,49.29,49.02,49.25,10363400,49.25
2014-08-27,49.29,49.46,49.21,49.43,11489500,49.43
2014-08-28,49.38,49.5,49.2,49.41,8018800,49.41
2014-08-29,49.43,49.82,49.4,49.82,11259700,49.82
2014-09-02,49.82,50,49.5,49.77,8724400,49.77
2014-09-03,49.94,50,49.69,49.88,9100900,49.88
2014-09-04,49.93,49.94,49.51,49.72,9472900,49.72
2014-09-05,49.73,50.03,49.56,49.94,11920900,49.94
2014-09-08,49.87,49.88,49.35,49.53,9005900,49.53
2014-09-09,49.42,49.52,48.8,48.9,14568800,48.9
2014-09-10,49.03,49.07,48.37,48.75,14347900,48.75
2014-09-11,48.65,49.08,48.33,49.01,13193800,49.01
2014-09-12,49,49,48.26,48.4,15339200,48.4
2014-09-15,48.49,48.6,48.3,48.56,12437900,48.56
